stock,tradedate,open,high,low,close,volume
20MICRONS,20201019,28.15,29.25,27.35,27.75,33671
21STCENMGM,20201019,9.55,9.7,9.45,9.7,841
3IINFOTECH,20201019,3.2,3.25,3.15,3.25,3121321
3MINDIA,20201019,18800,19000,18700,18972.85,2342
3PLAND,20201019,6.6,6.85,6.3,6.3,446
5PAISA,20201019,344.05,350,335.1,347.7,7516
63MOONS,20201019,72.5,75.8,72.5,74.2,19506
8KMILES,20201019,102.4,102.4,102.4,102.4,41567
A2ZINFRA,20201019,3.7,3.75,3.6,3.6,172452
AAKASH,20201019,52.95,53.45,52.05,53.15,54017
AARTIDRUGS,20201019,793.35,805,770.2,772.3,394594
AARTIIND,20201019,1000,1006.9,972.1,974.35,179136
AARTISURF,20201019,533,555.25,526,555.25,23638
AARVEEDEN,20201019,10.65,11,10.3,10.4,3737
AARVI,20201019,39.95,41.5,36.5,41.05,1158
AAVAS,20201019,1479.65,1540,1451.1,1500.55,17560
ABAN,20201019,23.55,23.7,22.9,23,27138
ABB,20201019,866,900.4,857.05,896.45,130070
ABBOTINDIA,20201019,16000,16167.75,15759.95,15808.35,8056
ABCAPITAL,20201019,61,61.3,59.9,60.6,1092177
ABFRL,20201019,138,145.75,138,144.8,4321511
ABMINTLTD,20201019,27.2,27.2,25.95,27.2,1503
ABSLBANETF,20201019,229.9,234.9,229.01,233.81,687
ABSLNN50ET,20201019,289,289,287.99,287.99,7
ACC,20201019,1569,1575,1538.2,1562.65,1643909
ACCELYA,20201019,1023.9,1023.9,980,990.95,5170
ACE,20201019,69.2,71.9,69.1,70.65,93384
ADANIENT,20201019,309.9,319.25,309.35,316.95,3330111
ADANIGAS,20201019,186.5,188.95,182.35,185.9,1208325
ADANIGREEN,20201019,711.2,717.95,695,702.8,312983
ADANIPORTS,20201019,352.6,352.6,344.8,347.55,2181975
ADANIPOWER,20201019,36.1,36.35,35.3,35.65,923880
ADANITRANS,20201019,291.5,294.1,287.1,289.1,225690
ADFFOODS,20201019,421.95,421.95,404.95,408.3,26926
ADHUNIKIND,20201019,17.7,18.65,17.7,18.35,9657
ADL,20201019,19.5,20.4,19.45,19.45,4989
ADORWELD,20201019,242.55,244.95,240,241.35,5065
ADROITINFO,20201019,8.65,8.65,7.85,8.6,16331
ADSL,20201019,23.5,23.5,22.75,23,166789
ADVANIHOTR,20201019,41.65,42.55,37.95,40.35,4499
ADVENZYMES,20201019,332.4,335.95,326.05,330.05,177542
